market,channel,region,category,subcategory,brand,variant,packtype,ppg,packsize,salesvalue,d1,volume,pool_key,pool_combinations
UK,Convenience,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,12044.21351,26.35599394,3921.270703,channel_Convenience,"Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_Standard_HEINZ_Standard, Convenience_Small_SNAP_POTS_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_Private_Label_Std, Convenience_Standard_Multi_Standard_BRANSTON, Convenience_Standard_Multi_Standard_HEINZ_Standard, Convenience_Standard_Multi_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_BRANSTON, Convenience_Standard_Single_Standard_HEINZ_Standard, Convenience_Standard_Single_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_Restofcategory"
UK,Convenience,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,10437.72344,26.20181906,3392.484948,channel_Convenience,"Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_Standard_HEINZ_Standard, Convenience_Small_SNAP_POTS_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_Private_Label_Std, Convenience_Standard_Multi_Standard_BRANSTON, Convenience_Standard_Multi_Standard_HEINZ_Standard, Convenience_Standard_Multi_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_BRANSTON, Convenience_Standard_Single_Standard_HEINZ_Standard, Convenience_Standard_Single_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_Restofcategory"
UK,Convenience,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,8982.250068,26.20428978,2924.196851,channel_Convenience,"Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_Standard_HEINZ_Standard, Convenience_Small_SNAP_POTS_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_Private_Label_Std, Convenience_Standard_Multi_Standard_BRANSTON, Convenience_Standard_Multi_Standard_HEINZ_Standard, Convenience_Standard_Multi_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_BRANSTON, Convenience_Standard_Single_Standard_HEINZ_Standard, Convenience_Standard_Single_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_Restofcategory"
UK,Convenience,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,8414.155377,26.0953786,2735.051474,channel_Convenience,"Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_Standard_HEINZ_Standard, Convenience_Small_SNAP_POTS_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_Private_Label_Std, Convenience_Standard_Multi_Standard_BRANSTON, Convenience_Standard_Multi_Standard_HEINZ_Standard, Convenience_Standard_Multi_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_BRANSTON, Convenience_Standard_Single_Standard_HEINZ_Standard, Convenience_Standard_Single_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_Restofcategory"
UK,Convenience,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,8500.43112,25.86913193,2763.337661,channel_Convenience,"Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_Standard_HEINZ_Standard, Convenience_Small_SNAP_POTS_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_Private_Label_Std, Convenience_Standard_Multi_Standard_BRANSTON, Convenience_Standard_Multi_Standard_HEINZ_Standard, Convenience_Standard_Multi_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_BRANSTON, Convenience_Standard_Single_Standard_HEINZ_Standard, Convenience_Standard_Single_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_Restofcategory"
UK,Convenience,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,8109.11442,25.83281768,2465.74154,channel_Convenience,"Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_Standard_HEINZ_Standard, Convenience_Small_SNAP_POTS_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_Private_Label_Std, Convenience_Standard_Multi_Standard_BRANSTON, Convenience_Standard_Multi_Standard_HEINZ_Standard, Convenience_Standard_Multi_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_BRANSTON, Convenience_Standard_Single_Standard_HEINZ_Standard, Convenience_Standard_Single_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_Restofcategory"
UK,Convenience,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,8318.094875,25.74510504,2521.061363,channel_Convenience,"Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_Standard_HEINZ_Standard, Convenience_Small_SNAP_POTS_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_Private_Label_Std, Convenience_Standard_Multi_Standard_BRANSTON, Convenience_Standard_Multi_Standard_HEINZ_Standard, Convenience_Standard_Multi_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_BRANSTON, Convenience_Standard_Single_Standard_HEINZ_Standard, Convenience_Standard_Single_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_Restofcategory"
UK,Convenience,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,7809.012546,25.39846007,2364.713775,channel_Convenience,"Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_Standard_HEINZ_Standard, Convenience_Small_SNAP_POTS_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_Private_Label_Std, Convenience_Standard_Multi_Standard_BRANSTON, Convenience_Standard_Multi_Standard_HEINZ_Standard, Convenience_Standard_Multi_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_BRANSTON, Convenience_Standard_Single_Standard_HEINZ_Standard, Convenience_Standard_Single_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_Restofcategory"
UK,Convenience,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,6902.761611,24.41131564,2096.953213,channel_Convenience,"Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_Standard_HEINZ_Standard, Convenience_Small_SNAP_POTS_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_Private_Label_Std, Convenience_Standard_Multi_Standard_BRANSTON, Convenience_Standard_Multi_Standard_HEINZ_Standard, Convenience_Standard_Multi_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_BRANSTON, Convenience_Standard_Single_Standard_HEINZ_Standard, Convenience_Standard_Single_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_Restofcategory"
UK,Convenience,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Small Multi,AllPackSize,7560.956578,24.48038783,2295.501048,channel_Convenience,"Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_HEINZ_Standard, Convenience_Small_Single_HEINZ_Standard, Convenience_Small_Multi_Standard_HEINZ_Standard, Convenience_Small_SNAP_POTS_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_HEINZ_Standard, Convenience_Small_Single_Standard_Private_Label_Std, Convenience_Standard_Multi_Standard_BRANSTON, Convenience_Standard_Multi_Standard_HEINZ_Standard, Convenience_Standard_Multi_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_BRANSTON, Convenience_Standard_Single_Standard_HEINZ_Standard, Convenience_Standard_Single_Standard_Private_Label_Std, Convenience_Standard_Single_Standard_Restofcategory"
