market,channel,region,category,subcategory,brand,variant,packtype,ppg,packsize,salesvalue,d1,volume,pool_key,pool_combinations
UK,Iceland,AllRegion,Beans,AllSubCategory,BRANSTON,Standard,AllPackType,Small Multi,AllPackSize,15756.94,82.40290391,9434.04,channel_Iceland,"Iceland_Small_Multi_Standard_BRANSTON, Iceland_Small_Multi_Standard_HEINZ_Standard, Iceland_Small_SNAP_POTS_Standard_HEINZ_Standard, Iceland_Small_Single_Standard_HEINZ_Standard, Iceland_Standard_Multi_Standard_BRANSTON, Iceland_Standard_Multi_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_BRANSTON, Iceland_Standard_Single_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_Restofcategory"
UK,Iceland,AllRegion,Beans,AllSubCategory,BRANSTON,Standard,AllPackType,Small Multi,AllPackSize,13447.97,82.71408243,8046.72,channel_Iceland,"Iceland_Small_Multi_Standard_BRANSTON, Iceland_Small_Multi_Standard_HEINZ_Standard, Iceland_Small_SNAP_POTS_Standard_HEINZ_Standard, Iceland_Small_Single_Standard_HEINZ_Standard, Iceland_Standard_Multi_Standard_BRANSTON, Iceland_Standard_Multi_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_BRANSTON, Iceland_Standard_Single_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_Restofcategory"
UK,Iceland,AllRegion,Beans,AllSubCategory,BRANSTON,Standard,AllPackType,Small Multi,AllPackSize,17002.84,83.36801807,9868.32,channel_Iceland,"Iceland_Small_Multi_Standard_BRANSTON, Iceland_Small_Multi_Standard_HEINZ_Standard, Iceland_Small_SNAP_POTS_Standard_HEINZ_Standard, Iceland_Small_Single_Standard_HEINZ_Standard, Iceland_Standard_Multi_Standard_BRANSTON, Iceland_Standard_Multi_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_BRANSTON, Iceland_Standard_Single_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_Restofcategory"
UK,Iceland,AllRegion,Beans,AllSubCategory,BRANSTON,Standard,AllPackType,Small Multi,AllPackSize,16812.57,83.0670452,10010.88,channel_Iceland,"Iceland_Small_Multi_Standard_BRANSTON, Iceland_Small_Multi_Standard_HEINZ_Standard, Iceland_Small_SNAP_POTS_Standard_HEINZ_Standard, Iceland_Small_Single_Standard_HEINZ_Standard, Iceland_Standard_Multi_Standard_BRANSTON, Iceland_Standard_Multi_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_BRANSTON, Iceland_Standard_Single_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_Restofcategory"
UK,Iceland,AllRegion,Beans,AllSubCategory,BRANSTON,Standard,AllPackType,Small Multi,AllPackSize,14763.89,82.97864616,8719.92,channel_Iceland,"Iceland_Small_Multi_Standard_BRANSTON, Iceland_Small_Multi_Standard_HEINZ_Standard, Iceland_Small_SNAP_POTS_Standard_HEINZ_Standard, Iceland_Small_Single_Standard_HEINZ_Standard, Iceland_Standard_Multi_Standard_BRANSTON, Iceland_Standard_Multi_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_BRANSTON, Iceland_Standard_Single_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_Restofcategory"
UK,Iceland,AllRegion,Beans,AllSubCategory,BRANSTON,Standard,AllPackType,Small Multi,AllPackSize,14778.2,83.10262041,8767.44,channel_Iceland,"Iceland_Small_Multi_Standard_BRANSTON, Iceland_Small_Multi_Standard_HEINZ_Standard, Iceland_Small_SNAP_POTS_Standard_HEINZ_Standard, Iceland_Small_Single_Standard_HEINZ_Standard, Iceland_Standard_Multi_Standard_BRANSTON, Iceland_Standard_Multi_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_BRANSTON, Iceland_Standard_Single_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_Restofcategory"
UK,Iceland,AllRegion,Beans,AllSubCategory,BRANSTON,Standard,AllPackType,Small Multi,AllPackSize,15321.96,83.13596492,9166.74,channel_Iceland,"Iceland_Small_Multi_Standard_BRANSTON, Iceland_Small_Multi_Standard_HEINZ_Standard, Iceland_Small_SNAP_POTS_Standard_HEINZ_Standard, Iceland_Small_Single_Standard_HEINZ_Standard, Iceland_Standard_Multi_Standard_BRANSTON, Iceland_Standard_Multi_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_BRANSTON, Iceland_Standard_Single_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_Restofcategory"
UK,Iceland,AllRegion,Beans,AllSubCategory,BRANSTON,Standard,AllPackType,Small Multi,AllPackSize,12040.2,82.93479019,7179.48,channel_Iceland,"Iceland_Small_Multi_Standard_BRANSTON, Iceland_Small_Multi_Standard_HEINZ_Standard, Iceland_Small_SNAP_POTS_Standard_HEINZ_Standard, Iceland_Small_Single_Standard_HEINZ_Standard, Iceland_Standard_Multi_Standard_BRANSTON, Iceland_Standard_Multi_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_BRANSTON, Iceland_Standard_Single_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_Restofcategory"
UK,Iceland,AllRegion,Beans,AllSubCategory,BRANSTON,Standard,AllPackType,Small Multi,AllPackSize,12497.46,83.23206984,7450.08,channel_Iceland,"Iceland_Small_Multi_Standard_BRANSTON, Iceland_Small_Multi_Standard_HEINZ_Standard, Iceland_Small_SNAP_POTS_Standard_HEINZ_Standard, Iceland_Small_Single_Standard_HEINZ_Standard, Iceland_Standard_Multi_Standard_BRANSTON, Iceland_Standard_Multi_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_BRANSTON, Iceland_Standard_Single_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_Restofcategory"
UK,Iceland,AllRegion,Beans,AllSubCategory,BRANSTON,Standard,AllPackType,Small Multi,AllPackSize,13652.09,86.76734477,7184.1,channel_Iceland,"Iceland_Small_Multi_Standard_BRANSTON, Iceland_Small_Multi_Standard_HEINZ_Standard, Iceland_Small_SNAP_POTS_Standard_HEINZ_Standard, Iceland_Small_Single_Standard_HEINZ_Standard, Iceland_Standard_Multi_Standard_BRANSTON, Iceland_Standard_Multi_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_BRANSTON, Iceland_Standard_Single_Standard_HEINZ_Standard, Iceland_Standard_Single_Standard_Restofcategory"
