market,channel,region,category,subcategory,brand,variant,packtype,ppg,packsize,salesvalue,d1,volume,pool_key,pool_combinations
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,380858.25,94.48388003,251468.42,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,396703.14,94.88120224,261493.16,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,441442.51,95.06852513,243966.88,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,444149.36,95.6775933,245138.01,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,400815.28,95.76459982,221417.44,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,385966.46,95.90193784,212665.92,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,367920.86,96.02686604,202770.66,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,368120.18,96.25984734,203013.85,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,373719.94,96.57465807,205816.76,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,338757.5,95.79387344,186571.55,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,378249.05,95.88841672,208504.3,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,396658.24,95.46461586,218631.13,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,314954.65,84.96623401,173501.54,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,385742.41,95.47248697,211957.1,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,423339.42,97.04646852,199581.8,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,432328.28,97.29220581,203725.16,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,567961.88,97.48989628,268684.28,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
UK,Tesco,AllRegion,Beans,AllSubCategory,HEINZ Standard,Standard,AllPackType,Standard Multi,AllPackSize,533329.13,97.22644983,252260.24,channel_Tesco,"Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_HEINZ_Standard, Tesco_Small_Single_HEINZ_Standard, Tesco_Small_Multi_Standard_HEINZ_Standard, Tesco_Small_SNAP_POTS_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_BRANSTON, Tesco_Small_Single_Standard_HEINZ_Standard, Tesco_Small_Single_Standard_Private_Label_Std, Tesco_Small_Single_Standard_Restofcategory, Tesco_Standard_Multi_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_BRANSTON, Tesco_Standard_Single_Standard_HEINZ_Standard, Tesco_Standard_Single_Standard_Private_Label_Std, Tesco_Standard_Single_Standard_Private_Label_Value"
